Key	Speaker	English	French	Italien		English rework ?	
DIALOGUE_TEST_001	<sketchy>Sonki	Yo I'm <wave> Sonny! </>	Yo moi c'est Sonki !	Testo Italiano		Yo I'm <wave>Sonki!</>	
DIALOGUE_TEST_002	<jump>Trilili	Hiya! I'm <jump> Trilili! </>	Texte Français	Testo Italiano			
DIALOGUE_TEST_003	<sketchy>Sonki	lol don't care didn't ask					
UI ELEMENTS							
MAINMENU_CREDITS_001		<jump>A Game by Corentin Job "Cocodev"</>	<jump>Un jeu par Corentin Job "Cocodev"</>				
MAINMENU_CREDITS_002		<jump>A Game by</>	<jump>Un jeu par</>				
MAINMENU_CREDITS_003		<jump>Sound Design</>	<jump>Design Sonore</>				
MAINMENU_CREDITS_004		<jump>Music</>	<jump>Musique</>				
MAINMENU_CREDITS_005		<jump>Additional Programming</>	<jump>Programmation additionelle</>				
MAINMENU_CREDITS_006		<jump>Special Thanks</>	<jump>Remerciements</>				
MAINMENU_BACK		<wave>Back	<wave>Retour				
MAINMENU_INVERTY		<jump>Invert Y Axis	<jump>Inverser l'axe Y				
MAINMENU_FULLSCREEN		<jump>Fullscreen	<jump>Plein écran				
MAINMENU_RESOLUTION		<jump>Resolution	<jump>Résolution				
MAINMENU_VOLUME		Volume	Volume				
MAINMENU_GENERAL		<jump>General	<jump>Général				
MAINMENU_MUSIC		<jump>Music	<jump>Musique				
MAINMENU_SOUND		<jump>Sound Effects	<jump>Effets Sonore				
MAINMENU_CONFIRM		Are you sure you want to delete your save ?	Effacer la sauvegarde définitivement ?				
MAINMENU_NO		No	Non				
MAINMENU_YES		Yes	Oui				
MAINMENU_LANGUAGE		<jump>Language	<jump>Langage				
PAUSE_RESUME		<sketchy>Resume	<sketchy>Reprendre				
PAUSE_RSPAWN		<sketchy>Respawn	<sketchy>Retour au checkpoint				
PAUSE_OPTIONS		<sketchy>Options	<sketchy>Options				
PAUSE_MAINMENU		<sketchy>Main Menu	<sketchy>Menu Principal				
